year,southEast,policy,antiInstPer,posAffPer,affect,approval_pres,approval_rep,democrat,Inc_dem,seniority,nominate_dim1,nominate_dim2,op_ideo,pid7,ideo5,white,hispanic,black,educ,faminc,unionmember,ageless18,age65plus,armedforces,foreignborn,poverty,unemp_clf,college,nilf,medinc,gini,economic,demHvote,dem_normal,uncontested,PRIMARYD,PRIMARYR,GENERALD,wongeneralD,numcandsD,numcandsR,primaryvote,primarychall
2017,0,0.6259780908,0.02816901408,0.01408450704,0.092331767,3.064621317,3.13066227,1,1,1,-0.197,0.179,0.095227242,4.23414136,3.489168395,0.53806901,0.01993534882,0.033628169,0.2119304374,4.665241019,0.40089175,0.23489231,0.18419959,0.001891608,0.062341411,0.17613219,0.081696697,0.14604834,0.48547286,0.26576999,0.458,-2.291929,0.53878182,0.49669361,0,0.5876870294,0.3082081545,0.5066403049,1,2,6,0.58768702,2
2017,0,0.4612903226,0.01612903226,0.01290322581,0.14516129,2.724177508,2.679081536,0,1,2,0.345,0.027,0.082545713,3.912382178,3.226713829,0.64690357,0.1170698489,0.055358294,0.3408487085,6.539192931,0.21642627,0.20045631,0.2118735,0.026032392,0.11034232,0.1356861,0.062209155,0.19873941,0.42744055,0.29427999,0.47139999,-0.58060682,0.43041506,0.52407098,0,0.5276802637,1,0.4304150735,0,2,1,1,1
2017,0,0.8679669917,0.2303075769,0.02100525131,0.55738932,2.296940128,2.79765315,1,1,8,-0.598,-0.256,-0.23227142,3.514189689,2.904862894,0.37186784,0.1032289872,0.060024802,0.1558758228,5.074844019,0.3258214,0.26813886,0.11601266,0.0061115292,0.21167582,0.18320738,0.080902278,0.10822847,0.39174649,0.24541,0.43689999,-2.826057,1,0.63990539,1,1,,0.9863475353,1,1,,1,1
2017,0,0.6743674367,0.03190319032,0.07150715072,0.22772278,3.509508458,3.295029547,0,0,4,0.697,-0.482,0.40653908,4.907407475,3.534545367,0.92136282,0,0.026366798,0.1620076808,5.845767477,0.44584504,0.19191889,0.27325901,0.011438888,0.074595489,0.11963309,0.067001112,0.12543075,0.52720737,0.26989001,0.4384,-1.3403951,0.28546649,0.30496421,0,0.9979706784,0.7141898876,0.285466478,0,1,2,0.71418989,2
2017,0,0.582867784,0.04469273743,0.0791433892,0.18156424,2.987614457,3.137986115,0,0,1,0.849,-0.528,0.049300652,4.226707452,2.987198861,0.86583489,0,0.047334988,0.4235563873,6.755559636,0.32515746,0.25760767,0.16608296,0.0010768038,0.0999799,0.075967669,0.041986223,0.23807764,0.361597,0.37479001,0.42789999,1.6428564,0.35904837,0.38858581,0,0.6544613298,0.294934106,0.3590483688,0,2,4,0.29493409,4
2017,0,0.7777777778,0.03174603175,0.01587301587,0.095238097,2.9313496,3.0738655,0,0,4,0.577,-0.292,0.18027498,4.242597939,3.20031964,0.77524412,0.08684656,0.04009122,0.3247620503,4.970668215,0.18496223,0.20017971,0.18840235,0.00051982026,0.14029971,0.10074486,0.044066295,0.27258655,0.36045128,0.39344001,0.49829999,1.7217578,0.3786971,0.44039914,0,0.588229383,0.8031376326,0.3786970941,0,2,2,0.80313766,2
2017,0,0.6772575251,0.1053511706,0.07357859532,0.54180604,2.522984602,3.136968163,1,1,2,-0.45,0.026,0.053762235,3.433240246,3.224509348,0.5207659,0.01040976234,0.11645432,0.2253186651,5.388559734,0.36162034,0.30034044,0.076053858,0.0011739924,0.2504693,0.23871374,0.066408537,0.099425763,0.35286939,0.25044,0.4499,-3.0960701,0.75253069,0.74657321,0,1,1,0.7522463809,1,1,1,1,1
2017,0,0.6463022508,0.1189710611,0.0192926045,0.31511253,3.199725579,3.109796829,0,0,8,0.749,0.087,0.20415883,3.952322235,3.220608963,0.69406033,0.08304365303,0.05905674,0.2951528173,6.9172138,0.47138727,0.22252162,0.21559051,0.007739027,0.098406821,0.081425034,0.049655821,0.19472988,0.41963187,0.33825999,0.4152,0.71428913,,0.39425212,0,,0.7106302056,,,,2,0.71063018,2
2017,0,0.5157526254,0.0186697783,0.02567094516,0.06884481,2.133666942,3.115299376,1,1,3,-0.105,0.075,-0.040011808,4.07849843,3.094766947,0.59812707,0.01547199468,0.076848127,0.3925132923,7.084388478,0.3399294,0.20647538,0.11479331,0.0009838104,0.14748223,0.14737014,0.047760684,0.24727057,0.29719606,0.33067,0.48109999,0.38796186,0.60941583,0.57678187,0,1,0.6068957457,0.6091918402,1,1,2,1,1
2017,0,0.6285714286,0.04285714286,0.07142857143,0.35714287,3.290288182,3.204513187,0,0,3,0.534,0.04,0.38329217,4.411542362,3.354263406,0.71885246,0.04962371842,0.024621056,0.3051632019,5.37219849,0.43341386,0.19815968,0.21095477,0.0013672392,0.061684921,0.1545469,0.066027321,0.16400808,0.46794882,0.26993999,0.4745,-1.3917544,0.40946898,0.41039145,0,0.2825502212,0.4079065759,0.4094689781,0,2,4,0.40790656,4
